Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
209752701,The Extraordinary Disappointments of Leopold Berry (Sunderworld #1),Ransom Riggs,"Riggs, Ransom",,"=""0593530934""","=""9780593530931""",0,3.92,Dutton Books for Young Readers,Hardcover,336,2024,2024,,2025/01/17,to-read,to-read (#50),to-read,,,,0,0
222025029,This Song Is (Not) For You,Laura Nowlin,"Nowlin, Laura",,"=""1464218781""","=""9781464218781""",0,2.48,Sourcebooks Fire,Paperback,256,2024,2016,,2025/01/16,to-read,to-read (#49),to-read,,,,0,0
17157434,"Howl's Moving Castle (Howl's Moving Castle, #1)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""""","=""""",0,4.28,Harper Collins Children's eBooks,Kindle Edition,320,2012,1986,,2024/07/18,to-read,to-read (#32),to-read,,,,0,0
3304393,"Kissed by an Angel (Kissed by an Angel, #1)",Elizabeth Chandler,"Chandler, Elizabeth",,"=""0671891456""","=""9780671891459""",0,3.72,Archway,Paperback,240,1995,1995,,2025/01/13,to-read,to-read (#48),to-read,,,,0,0
57623348,"Home: Habitat, Range, Niche, Territory (The Murderbot Diaries, #4.5)",Martha Wells,"Wells, Martha",,"=""125083886X""","=""9781250838865""",3,4.10,Tor Books,ebook,19,2021,2020,2025/01/09,2025/01/09,,,read,,,,1,0
35519109,"Exit Strategy (The Murderbot Diaries, #4)",Martha Wells,"Wells, Martha",,"=""""","=""""",4,4.36,Tordotcom,Kindle Edition,172,2018,2018,2025/01/09,2025/01/08,,,read,,,,1,0
35519101,"Rogue Protocol (The Murderbot Diaries, #3)",Martha Wells,"Wells, Martha",,"=""1250191785""","=""9781250191786""",4,4.24,Tor.com,Hardcover,159,2018,2018,2025/01/08,2024/12/30,,,read,,,,1,0
53086843,"You've Reached Sam (You've Reached Sam, #1)",Dustin Thao,"Thao, Dustin",,"=""1250762030""","=""9781250762030""",5,3.61,Wednesday Books,Hardcover,296,2021,2021,2025/01/06,2023/02/21,,,read,What. A. Book. Cried like a little baby ,,,1,0
10772903,Those Across the River,Christopher Buehlman,"Buehlman, Christopher",,"=""0441020674""","=""9780441020676""",0,3.71,Ace Hardcover,Hardcover,357,2011,2011,,2025/01/05,to-read,to-read (#47),to-read,,,,0,0
58527403,"Magnolia Parks (Magnolia Parks Universe, #1)",Jessa Hastings,"Hastings, Jessa",,"=""1737281198""","=""9781737281191""",0,3.64,,Kindle Edition,423,2021,2021,,2024/12/30,to-read,to-read (#46),to-read,,,,0,0
158875813,Prophet Song,Paul    Lynch,"Lynch, Paul",,"=""""","=""""",0,4.03,Oneworld Publications,ebook,259,2023,2023,,2024/12/30,to-read,to-read (#45),to-read,,,,0,0
36223860,"Artificial Condition (The Murderbot Diaries, #2)",Martha Wells,"Wells, Martha",,"=""""","=""""",4,4.25,Tor.com,Hardcover,158,2018,2018,2024/12/30,2024/12/29,,,read,,,,1,0
32758901,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",,"=""""","=""""",4,4.11,Tor.com,ebook,144,2017,2017,2024/12/29,2024/12/27,,,read,,,,1,0
195264190,"Compulsory (The Murderbot Diaries, #0.5)",Martha Wells,"Wells, Martha",,"=""1645241726""","=""9781645241720""",3,4.30,Subterranean Press,Kindle Edition,8,2023,2018,2024/12/29,2024/12/29,,,read,,,,1,0
59808196,When Haru Was Here,Dustin Thao,"Thao, Dustin",,"=""1250762065""","=""9781250762061""",0,3.79,Wednesday Books,Hardcover,304,2024,2024,,2024/12/25,to-read,to-read (#44),to-read,,,,0,0
220389090,"Only Santas in the Building (Under the Mistletoe Collection, #5)",Alexis Daria,"Daria, Alexis",,"=""1662529376""","=""9781662529375""",2,3.35,Amazon Original Stories,Kindle Edition,64,2024,2024,2024/12/23,2024/12/23,,,read,,,,1,0
50542352,Surrounded by Idiots,Thomas Erikson,"Erikson, Thomas",,"=""1250179939""","=""9781250179937""",3,3.51,St Martin's Essentials,Paperback,304,2020,2014,2024/12/17,2024/12/11,,,read,,,,1,0
199346768,"Under the Oak Tree, Vol. 1",Suji Kim,"Kim, Suji",,"=""0593871197""","=""9780593871195""",0,3.70,Inklore,Hardcover,496,2024,2024,,2024/12/15,to-read,to-read (#43),to-read,,,,0,0
220389455,"All by My Elf (Under the Mistletoe Collection, #3)",Olivia Dade,"Dade, Olivia",,"=""166252823X""","=""9781662528231""",1,2.58,Amazon Original Stories,Kindle Edition,54,2024,2024,2024/12/11,2024/12/09,,,read,,,,1,0
58028296,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""1408891387""","=""9781408891384""",5,4.30,Bloomsbury Publishing,Paperback,352,2017,2011,2023/09/10,2023/02/23,,,read,,,,1,0
220389465,"Merry Ever After (Under the Mistletoe Collection, #2)",Tessa Bailey,"Bailey, Tessa",,"=""1662528736""","=""9781662528736""",1,2.79,Amazon Original Stories,Kindle Edition,58,2024,2024,2024/12/09,2024/12/09,,,read,,,,1,0
220389458,"Cruel Winter with You (Under the Mistletoe Collection, #1)",Ali Hazelwood,"Hazelwood, Ali",,"=""1662528396""","=""9781662528392""",2,3.68,Amazon Original Stories,Kindle Edition,72,2024,2024,2024/12/08,2024/12/07,,,read,,,,1,0
40772063,"The Lost Sisters (The Folk of the Air, #1.5)",Holly Black,"Black, Holly",,"=""""","=""9780316310444""",3,3.34,NOVL,Kindle Edition,50,2018,2018,2024/12/02,2024/02/07,,,read,,,,1,0
211081092,"The Traitor Queen (The Bridge Kingdom, #2)",Danielle L. Jensen,"Jensen, Danielle L.",,"=""0593975219""","=""9780593975213""",0,4.22,Del Rey,Paperback,416,2024,2020,,2024/12/01,to-read,to-read (#42),to-read,,,,0,0
211081101,"The Bridge Kingdom (The Bridge Kingdom, #1)",Danielle L. Jensen,"Jensen, Danielle L.",,"=""0593975189""","=""9780593975183""",4,4.04,Del Rey,Paperback,448,2024,2018,2024/12/01,2024/11/25,,,read,,,,1,0
60898485,The Ice Dragon,George R.R. Martin,"Martin, George R.R.",,"=""0008518777""","=""9780008518776""",3,3.74,HarperVoyager,Paperback,120,2022,1980,2024/12/01,2024/12/01,,,read,,,,1,0
221388147,Stranger in the Woods,Anni Taylor,"Taylor, Anni",,"=""""","=""""",2,3.95,,Kindle Edition,406,2024,2018,2024/12/01,2024/11/26,,,read,,,,1,0
210395729,Our Infinite Fates,Laura   Steven,"Steven, Laura",,"=""1250333881""","=""9781250333889""",0,3.66,Wednesday Books,Hardcover,352,2025,2025,,2024/11/30,to-read,to-read (#41),to-read,,,,0,0
7937462,"The Short Second Life of Bree Tanner (The Twilight Saga, #3.5)",Stephenie Meyer,"Meyer, Stephenie",,"=""031612558X""","=""9780316125581""",0,3.52,"Little, Brown and Company",Hardcover,178,2010,2009,2011/01/01,2024/11/25,,,read,,,,1,0
201017011,"Lights Out (Into Darkness, #1)",Navessa Allen,"Allen, Navessa",,"=""""","=""""",0,4.09,,Kindle Edition,338,2024,2024,2024/11/25,2024/11/21,,,read,,,,1,0
49551172,"The Reckoning (Zodiac Academy, #3)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",4,4.33,King's Hollow,Kindle Edition,562,2019,2019,2024/11/19,2024/10/16,the-zodiac-academy-reading-order,the-zodiac-academy-reading-order (#3),read,,,,1,0
49646047,"Origins of an Academy Bully (Zodiac Academy, #0.5)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",3,3.73,Independently Published,Kindle Edition,94,2019,2019,2024/07/22,2024/07/22,the-zodiac-academy-reading-order,the-zodiac-academy-reading-order (#4),read,,,,1,0
46261182,"The Awakening (Zodiac Academy, #1)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",3,3.82,Dark Ink Publishing,Kindle Edition,436,2019,2019,2024/08/11,2024/07/23,the-zodiac-academy-reading-order,the-zodiac-academy-reading-order (#1),read,,,,1,0
51966347,"Ruthless Fae (Zodiac Academy, #2)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",5,4.20,King's Hollow,Kindle Edition,475,2019,2019,2024/09/08,2024/08/13,the-zodiac-academy-reading-order,the-zodiac-academy-reading-order (#2),read,,,,1,0
62335396,"The Ashes & the Star-Cursed King (Crowns of Nyaxia, #2)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",2,4.06,,Kindle Edition,626,2023,2023,2024/11/17,2024/07/15,,,read,,,,1,0
206318178,"The Christmas Tree Farm (Dream Harbor, #3)",Laurie Gilmore,"Gilmore, Laurie",,"=""0008610738""","=""9780008610739""",3,3.65,HarperCollins,ebook,369,2024,2024,2024/11/11,2024/10/07,,,read,,,,1,0
59986018,"The Book of Azrael (Gods & Monsters, #1)",Amber V. Nicole,"Nicole, Amber V.",,"=""""","=""""",0,4.12,Rose and Star Publishing,Kindle Edition,572,2022,2022,,2024/11/10,to-read,to-read (#40),to-read,,,,0,0
208430658,Blood Over Bright Haven,M.L. Wang,"Wang, M.L.",,"=""0593873351""","=""9780593873359""",0,4.33,Del Rey,Hardcover,428,2024,2023,,2024/10/25,to-read,to-read (#39),to-read,,,,0,0
57426932,Gothikana,RuNyx,"RuNyx, RuNyx",,"=""""","=""""",0,3.75,,Kindle Edition,456,2021,2021,,2024/10/11,to-read,to-read (#38),to-read,,,,0,0
196241667,"The Cinnamon Bun Book Store (Dream Harbor, #2)",Laurie Gilmore,"Gilmore, Laurie",,"=""""","=""""",3,3.69,One More Chapter,ebook,384,2024,2024,2024/10/07,2024/09/08,,,read,,,,1,0
123027751,"Six Scorched Roses (Crowns of Nyaxia, #1.5)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",5,4.23,,Kindle Edition,187,2023,2023,2024/10/04,2024/10/03,,,read,,,,1,0
60714999,"The Serpent and the Wings of Night (Crowns of Nyaxia, #1)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",4,4.26,Independently Published,Kindle Edition,504,2022,2022,2024/10/03,2024/07/15,,,read,,,,1,0
215080759,The Last Days of Holly Hayes,Sandra J. Paul,"Paul, Sandra J.",,"=""9464945311""","=""9789464945317""",3,3.16,Hamley Books,Paperback,480,2024,,2024/09/29,2024/09/28,,,read,,,,1,0
200776933,After the Forest,Kell Woods,"Woods, Kell",,"=""1803367733""","=""9781803367736""",3,3.79,Titan Books,Hardcover,480,2023,2023,2024/09/28,2024/07/13,,,read,,,,1,0
200736890,Dead Girls Don't Talk,Sandra J. Paul,"Paul, Sandra J.",,"=""9464661607""","=""9789464661606""",0,3.32,Hamley Books,Paperback,480,2023,,,2024/09/28,to-read,to-read (#37),to-read,,,,0,0
56651967,"King of Battle and Blood (Adrian x Isolde, #1)",Scarlett St.  Clair,"Clair, Scarlett St.",,"=""""","=""9781728258416""",0,3.70,Bloom Books,Paperback,391,2021,2021,,2024/09/19,to-read,to-read (#36),to-read,,,,0,0
61231165,Erica: De motor achter de Meilandjes,Jan Dijkgraaf,"Dijkgraaf, Jan",Erica Renkema,"=""9083096661""","=""9789083096667""",2,3.04,Osjato,Kindle Edition,340,2021,2021,2024/09/17,2024/09/02,,,read,,,,1,0
199361308,The Ghost Cat,Alex   Howard,"Howard, Alex",,"=""1335012338""","=""9781335012333""",4,3.48,Hanover Square Press,Hardcover,272,2024,2023,2024/09/16,2024/09/11,,,read,,,,1,0
55531784,"Martien, van burgemeesterzoontje tot kasteelheer",Jan Dijkgraaf,"Dijkgraaf, Jan",Martien Meiland,"=""9083096645""","=""9789083096643""",3,3.10,Uitgeverij Osjato,Paperback,350,2020,2020,2024/09/01,2023/04/27,,,read,,,,1,0
124926616,"Maxime – Misbruikt, ontspoord en nu… gelukkig!",Jan Dijkgraaf,"Dijkgraaf, Jan",Maxime Meiland,"=""8908309667""","=""9789083096681""",0,3.16,Uitgeverij Osjato,Hardcover,256,2023,2023,,2024/09/02,to-read,to-read (#35),to-read,,,,0,0
49084724,Credence,Penelope Douglas,"Douglas, Penelope",,"=""1660089050""","=""9781660089055""",0,3.67,Independently published,Paperback,470,2020,2020,2024/08/24,2024/08/14,,,read,,,,1,0
59050133,"Hunting Adeline (Cat and Mouse, #2)",H.D. Carlton,"Carlton, H.D.",,"=""""","=""""",0,4.07,,Kindle Edition,684,2022,2022,,2023/08/15,to-read,to-read (#14),to-read,,,,0,0
29502646,"In Too Deep (Roommates Trilogy, #1)",Mara Jacobs,"Jacobs, Mara",,"=""""","=""""",2,3.49,Copper Country Press,Kindle Edition,236,2016,2014,2024/08/14,2024/08/12,,,read,,,,1,0
58014893,Every Summer After,Carley Fortune,"Fortune, Carley",,"=""""","=""""",0,4.17,Berkley,Paperback,320,2022,2022,,2024/08/14,to-read,to-read (#34),to-read,,,,0,0
61797464,Meet Me at the Lake,Carley Fortune,"Fortune, Carley",,"=""0735243786""","=""9780735243781""",0,3.68,Viking,Paperback,336,2023,2023,,2024/08/14,to-read,to-read (#33),to-read,,,,0,0
199025935,"How to Choose a Guy in 10 Days (Chick Flick Club, #1)",Lila Monroe,"Monroe, Lila",,"=""""","=""""",2,3.58,Lila Monroe Books,Kindle Edition,258,2018,2018,2024/08/06,2024/07/24,,,read,,,,1,0
31847592,"Twist Me (Twist Me, #1)",Anna Zaires,"Zaires, Anna",,"=""""","=""""",0,3.84,Mozaika Publications,ebook,312,2016,2014,2024/08/03,2024/07/29,,,read,,,,1,0
62047992,"Days at the Morisaki Bookshop (Days at the Morisaki Bookshop, #1)",Satoshi Yagisawa,"Yagisawa, Satoshi",Eric Ozawa,"=""0063278677""","=""9780063278677""",3,3.63,Harper Perennial,Paperback,150,2023,2010,2024/07/30,2024/07/29,,,read,,,,1,0
34369803,If We Were Villains,M.L. Rio,"Rio, M.L.",,"=""1785656473""","=""9781785656477""",0,4.08,Titan Books,Paperback,422,2017,2017,2024/07/29,2024/07/29,,,read,Not for me at all ,,,1,0
34850930,Thor,Wayne Smith,"Smith, Wayne",,"=""""","=""""",5,4.33,,Kindle Edition,327,,1992,2024/07/23,2024/07/20,,,read,"One of my first books I've owned since I was a kid, probably read this one 15+ times in the past. It's been a while since last time but after all these years it still managed to keep me hooked. <br/>",,,1,0
13612739,"Seduced in the Dark (The Dark Duet, #2)",C.J. Roberts,"Roberts, C.J.",,"=""""","=""""",0,4.27,Neurotica Books,Kindle Edition,505,2012,2012,2024/07/21,2024/07/21,,,read,,,,1,0
12513614,"Captive in the Dark (The Dark Duet, #1)",C.J. Roberts,"Roberts, C.J.",,"=""""","=""""",0,3.93,CJ Roberts,Nook,276,2011,2011,2024/07/17,2024/07/17,,,read,,,,1,0
44054122,"Imagine Me (Shatter Me, #6)",Tahereh Mafi,"Mafi, Tahereh",,"=""006267644X""","=""9780062676443""",0,4.01,HarperCollins,ebook,450,2020,2020,,2024/03/12,to-read,to-read (#31),to-read,,,,1,0
62621489,The Birdcage Library,Freya Berry,"Berry, Freya",,"=""1472276353""","=""9781472276353""",0,3.78,Headline Review,Hardcover,400,2023,2023,,2023/10/19,to-read,to-read (#30),to-read,,,,1,0
210134467,"The Songbird & the Heart of Stone (Crowns of Nyaxia, #3)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",0,4.04,Bramble Romance,Kindle Edition,498,2024,2024,,2024/07/15,to-read,to-read (#29),to-read,,,,0,0
90202302,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374178""","=""9781649374172""",5,4.36,Entangled: Red Tower Books,Hardcover,623,2023,2023,2024/07/13,2024/06/23,,,read,,,,1,0
178858474,Driving My Obsession (Ride or Die Romances),Lauren Biel,"Biel, Lauren",,"=""""","=""""",0,3.60,Lauren Biel,Kindle Edition,312,2023,,2024/07/08,2024/07/08,,,read,,,,1,0
61431922,"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374046""","=""9781649374042""",4,4.57,Entangled: Red Tower Books,Hardcover,517,2023,2023,2024/06/23,2023/08/23,,,read,,,,1,0
43514655,"Reveal Me (Shatter Me, #5.5)",Tahereh Mafi,"Mafi, Tahereh",,"=""""","=""""",3,3.96,Storytide,Kindle Edition,112,2019,2019,2024/03/12,2024/02/25,,,read,,,,1,0
34992959,"Defy Me (Shatter Me, #5)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062676393""","=""9780062676399""",4,4.26,HarperTeen,Hardcover,357,2019,2019,2024/02/25,2024/02/24,,,read,,,,1,0
40863452,"Shadow Me (Shatter Me, #4.5)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062906267""","=""9780062906267""",3,3.96,HarperCollins,Kindle Edition,69,2019,2019,2024/02/24,2024/02/23,,,read,,,,1,0
34992929,"Restore Me (Shatter Me, #4)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062676369""","=""9780062676368""",3,4.13,HarperCollins,Hardcover,448,2018,2018,2024/02/23,2024/02/18,,,read,,,,1,0
13188676,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,"Mafi, Tahereh",,"=""006208559X""","=""9780062085597""",4,4.45,HarperCollins ,Kindle Edition,408,2014,2014,2024/02/18,2024/02/10,,,read,,,,1,0
17331518,"Fracture Me (Shatter Me, #2.5)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062284835""","=""9780062284839""",2,3.33,HarperCollins,Kindle Edition,72,2013,2013,2024/02/10,2024/02/10,,,read,,,,1,0
13104080,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062085530""","=""9780062085535""",4,4.10,HarperCollins ,Hardcover,480,2013,2013,2024/02/10,2024/01/05,,,read,,,,1,0
6435131,De Japanse tuin,Pieter Aspe,"Aspe, Pieter",,"=""9022317293""","=""9789022317297""",2,2.81,Manteau,Paperback,121,2002,2002,2024/02/07,2024/02/07,,,read,,,,1,0
61198133,"The Stolen Heir (The Stolen Heir Duology, #1)",Holly Black,"Black, Holly",,"=""0316592706""","=""9780316592703""",0,3.92,"Little, Brown Books for Young Readers",Hardcover,356,2023,2023,,2024/02/07,to-read,to-read (#28),to-read,,,,0,0
15984666,De dag dat we Andy zijn arm afzaagden,Marnix Peeters,"Peeters, Marnix",,"=""9085423910""","=""9789085423911""",4,3.48,De Bezige Bij,Paperback,297,2012,2012,2024/01/28,2024/01/03,,,read,,,,1,0
65916344,"Holly (Holly Gibney, #3)",Stephen  King,"King, Stephen",,"=""1668016133""","=""9781668016138""",0,4.07,Scribner,Hardcover,449,2023,2023,,2024/01/22,to-read,to-read (#27),to-read,,,,0,0
61337597,"The House Witch (The House Witch, #1)",Delemhach,"Delemhach, Delemhach",,"=""1039410243""","=""9781039410244""",0,4.10,Podium Publishing,Kindle Edition,658,2022,2022,,2024/01/19,to-read,to-read (#26),to-read,,,,0,0
13623150,"Destroy Me (Shatter Me, #1.5)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062208195""","=""9780062208194""",3,3.94,Harper,Kindle Edition,111,2012,2012,2024/01/05,2024/01/04,,,read,,,,1,0
13455782,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062085506""","=""9780062085504""",4,3.84,HarperCollins,Paperback,338,2012,2011,2024/01/04,2023/05/23,,,read,,,,1,0
33532,Dracula,Bram Stoker,"Stoker, Bram",,"=""014062063X""","=""9780140620634""",0,4.02,Penguin Books,Paperback,449,1994,1897,,2023/03/03,to-read,to-read (#25),to-read,,,,0,0
60105524,Galatea,Madeline Miller,"Miller, Madeline",,"=""1526652064""","=""9781526652065""",3,3.93,Bloomsbury,Hardcover,56,2022,2013,2023/12/27,2023/12/27,,,read,,,,1,0
139391940,"The Pumpkin Spice Café (Dream Harbor, #1)",Laurie Gilmore,"Gilmore, Laurie",,"=""0008610665""","=""9780008610661""",3,3.36,HarperCollins,Kindle Edition,376,2023,2023,2023/12/23,2023/09/19,,,read,Stardew Valley X Gilmore Girls in a book,,,1,0
54626426,"A Game of Fate (Hades Saga, #1)",Scarlett St.  Clair,"Clair, Scarlett St.",,"=""""","=""""",3,3.97,,ebook,379,2020,2020,2023/12/21,2023/12/11,,,read,,,,1,0
58545703,"Hooked (Never After, #1)",Emily McIntire,"McIntire, Emily",,"=""173750832X""","=""9781737508328""",3,3.77,"McIntire Publishing, Co.",Kindle Edition,312,2021,2021,2023/12/07,2023/11/29,,,read,,,,1,0
59364173,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""""","=""""",4,4.43,Simon & Schuster,ebook,320,2022,2022,2023/11/29,2023/11/08,,,read,,,,1,0
